date,province,rainfall_mm,water_level_m,temperature_c,humidity_percent,is_flood
2020-01-01,Songkhla,17.31,7.57,31,76,0
2020-01-01,Pathum Thani,8.21,4.03,35,78,0
2020-01-01,Chiang Rai,3.39,6.73,33,79,0
2020-01-01,Sukhothai,18.07,6.31,34,77,0
2020-01-01,Songkhla,2.82,5.28,26,81,0
2020-01-01,Nakhon Sawan,3.46,6.53,25,82,0
2020-01-01,Ubon Ratchathani,19.84,7.69,34,91,0
2020-01-01,Bangkok,18.79,6.4,28,78,0
2020-01-01,Songkhla,8.84,5.45,31,79,0
2020-01-01,Pathum Thani,1.24,4.45,36,77,0
2020-01-01,Nakhon Si Thammarat,14.6,6.9,35,89,0
2020-01-01,Chiang Rai,17.81,4.76,33,60,0
2020-01-01,Sukhothai,2.84,4.34,37,94,0
2020-01-01,Pathum Thani,2.85,4.27,29,83,0
2020-01-01,Ayutthaya,1.93,2.32,25,89,0
2020-01-01,Nan,1.28,3.77,36,75,0
2020-01-01,Bangkok,7.95,5.76,33,90,0
2020-01-01,Chiang Rai,0.74,3.47,34,77,0
2020-01-01,Nakhon Ratchasima,1.63,5.24,30,65,0
2020-01-01,Ayutthaya,5.27,8.62,32,78,0
2020-01-01,Ayutthaya,10.32,5.44,28,70,0
2020-01-01,Khon Kaen,6.23,7.09,32,82,0
2020-01-01,Songkhla,14.58,5.96,37,81,0
2020-01-01,Nan,4.61,8.15,35,62,0
2020-01-01,Ayutthaya,5.68,6.58,37,79,0
2020-01-01,Ubon Ratchathani,14.15,5.98,36,79,0
2020-01-01,Phrae,15.77,6.94,27,66,0
2020-01-01,Sukhothai,15.56,5.08,33,93,0
2020-01-01,Nan,1.22,5.22,28,83,0
2020-01-01,Ubon Ratchathani,8.71,7.45,26,70,0
2020-01-01,Nakhon Si Thammarat,10.27,5.99,36,85,0
2020-01-01,Nakhon Ratchasima,0.98,3.23,33,92,0
2020-01-01,Nan,7.84,5.88,34,69,0
2020-01-01,Songkhla,14.16,7.15,37,83,0
2020-01-01,Ubon Ratchathani,16.3,4.38,29,89,0
2020-01-01,Nakhon Sawan,12.56,5.89,28,89,0
2020-01-01,Chiang Rai,16.84,4.15,30,71,0
2020-01-01,Chiang Rai,16.37,5.15,34,61,0
2020-01-01,Nakhon Sawan,8.27,3.97,27,79,0
2020-01-01,Nan,0.8,6.92,35,68,0
2020-01-01,Nakhon Si Thammarat,13.96,6.62,33,62,0
2020-01-01,Songkhla,13.57,6.18,32,91,0
2020-01-01,Surat Thani,9.31,4.79,30,92,0
2020-01-01,Chiang Rai,2.4,5.65,31,71,0
2020-01-01,Khon Kaen,12.34,5.1,30,89,0
2020-01-01,Chiang Rai,6.08,5.77,31,83,0
2020-01-01,Nakhon Si Thammarat,8.52,6.41,29,81,0
2020-01-01,Nakhon Ratchasima,7.85,3.85,25,67,0
2020-01-01,Nakhon Sawan,0.43,4.67,31,85,0
2020-01-01,Ayutthaya,2.46,3.88,31,71,0
2020-01-01,Nan,16.38,5.73,36,71,0
2020-01-01,Ayutthaya,15.8,6.15,37,74,0
2020-01-01,Pathum Thani,10.65,5.9,29,64,0
2020-01-01,Ubon Ratchathani,7.6,4.58,29,78,0
2020-01-01,Pathum Thani,19.72,7.12,37,90,0
2020-01-01,Chiang Mai,1.35,5.35,28,85,0
2020-01-01,Khon Kaen,13.14,6.63,30,82,0
2020-01-01,Nakhon Sawan,0.9,4.9,31,78,0
2020-01-01,Pathum Thani,16.92,7.1,31,60,0
2020-01-01,Phrae,0.13,5.82,36,77,0
2020-01-01,Pathum Thani,16.92,4.91,29,78,0
2020-01-01,Nakhon Si Thammarat,0.18,4.62,34,65,0
2020-01-01,Bangkok,4.23,4.53,37,67,0
2020-01-01,Nakhon Si Thammarat,15.23,4.58,32,67,0
2020-01-01,Nakhon Si Thammarat,10.16,6.66,37,61,0
2020-01-01,Surat Thani,0.78,4.29,31,80,0
2020-01-01,Chiang Rai,2.43,6.06,31,80,0
2020-01-01,Chiang Rai,8.81,4.88,27,91,0
2020-01-01,Chiang Rai,19.5,6.52,27,93,0
2020-01-01,Chiang Rai,6.1,6.68,25,85,0
2020-01-01,Surat Thani,1.96,4.92,33,62,0
2020-01-01,Pathum Thani,15.94,6.1,31,93,0
2020-01-01,Sukhothai,15.47,6.26,31,92,0
2020-01-01,Khon Kaen,6.2,6.01,36,69,0
2020-01-01,Songkhla,9.46,5.64,30,92,0
2020-01-01,Songkhla,18.14,6.04,31,73,0
2020-01-01,Bangkok,19.42,6.08,37,66,0
2020-01-01,Nan,13.46,5.35,26,89,0
2020-01-01,Ubon Ratchathani,6.06,3.69,26,70,0
2020-01-01,Surat Thani,8.4,6.47,26,83,0
2020-01-01,Nan,11.82,5.59,29,69,0
2020-01-01,Phrae,18.19,4.68,26,79,0
2020-01-01,Nakhon Sawan,15.77,6.03,37,76,0
2020-01-01,Sukhothai,4.77,5.55,32,72,0
2020-01-01,Nakhon Sawan,6.54,4.92,35,90,0
2020-01-01,Songkhla,11.41,7.36,34,85,0
2020-01-01,Sukhothai,5.07,5.31,26,80,0
2020-01-01,Nan,17.73,5.26,33,75,0
2020-01-01,Ayutthaya,6.04,5.67,36,65,0
2020-01-01,Nakhon Sawan,0.17,6.21,32,72,0
2020-01-01,Khon Kaen,12.22,6.22,35,71,0
2020-01-01,Ayutthaya,0.54,3.7,29,79,0
2020-01-01,Sukhothai,11.46,4.29,29,83,0
2020-01-01,Pathum Thani,17.87,6.38,28,90,0
2020-01-01,Nakhon Si Thammarat,5.66,5.86,35,82,0
2020-01-01,Songkhla,1.79,6.22,32,87,0
2020-01-01,Nakhon Ratchasima,3.85,4.56,27,94,0
2020-01-01,Chiang Mai,7.71,6.17,34,94,0
2020-01-01,Chiang Mai,2.57,5.79,31,88,0
2020-01-01,Ayutthaya,8.42,6.55,30,77,0
2020-01-01,Nakhon Sawan,11.27,5.29,35,72,0
2020-01-01,Khon Kaen,14.38,5.88,32,61,0
2020-01-01,Nakhon Si Thammarat,5.61,4.0,27,66,0
2020-01-01,Pathum Thani,5.43,4.1,33,93,0
2020-01-01,Chiang Mai,17.48,5.67,34,80,0
2020-01-01,Bangkok,0.63,4.36,25,75,0
2020-01-01,Sukhothai,4.4,6.32,25,82,0
2020-01-01,Chiang Rai,11.45,4.7,36,89,0
2020-01-01,Nan,6.17,4.02,32,63,0
2020-01-01,Nakhon Ratchasima,2.97,3.26,31,86,0
2020-01-01,Songkhla,0.9,5.2,26,80,0
2020-01-01,Khon Kaen,7.02,5.72,37,94,0
2020-01-01,Pathum Thani,3.96,5.73,35,64,0
2020-01-01,Bangkok,8.44,4.9,32,64,0
2020-01-01,Nan,4.5,4.3,35,83,0
2020-01-01,Nakhon Sawan,0.26,4.17,33,71,0
2020-01-01,Surat Thani,16.28,5.39,37,80,0
2020-01-01,Nakhon Sawan,1.09,3.0,37,62,0
2020-01-01,Chiang Mai,8.19,5.11,30,70,0
2020-01-01,Khon Kaen,6.78,5.83,30,68,0
2020-01-01,Ubon Ratchathani,6.29,4.41,30,90,0
2020-01-01,Bangkok,17.13,5.64,28,84,0
2020-01-01,Bangkok,14.59,5.34,30,78,0
2020-01-01,Songkhla,5.67,5.44,25,85,0
2020-01-01,Nan,13.26,6.97,30,82,0
2020-01-01,Pathum Thani,2.68,4.63,35,88,0
2020-01-01,Nakhon Si Thammarat,0.35,4.48,31,85,0
2020-01-01,Bangkok,2.61,5.13,25,93,0
2020-01-01,Phrae,13.2,5.08,30,77,0
2020-01-01,Nakhon Sawan,8.74,5.12,30,63,0
2020-01-01,Ubon Ratchathani,13.86,4.5,29,62,0
2020-01-01,Surat Thani,1.73,6.03,36,82,0
2020-01-01,Pathum Thani,16.29,5.71,36,82,0
2020-01-01,Khon Kaen,5.51,6.51,35,89,0
2020-01-01,Ubon Ratchathani,4.12,3.6,31,69,0
2020-01-01,Phrae,19.81,4.48,35,76,0
2020-01-01,Chiang Mai,2.53,5.25,25,86,0
2020-01-01,Khon Kaen,3.32,4.3,31,85,0
2020-01-01,Ubon Ratchathani,1.39,1.84,31,60,0
2020-01-01,Pathum Thani,1.43,3.55,33,73,0
2020-01-01,Khon Kaen,12.14,4.9,34,87,0
2020-01-01,Ubon Ratchathani,6.93,6.77,29,79,0
2020-01-01,Nan,12.23,7.35,35,62,0
2020-01-01,Chiang Mai,1.55,5.25,32,86,0
2020-01-01,Ubon Ratchathani,9.05,5.76,30,65,0
2020-01-01,Khon Kaen,12.63,6.89,28,93,0
2020-01-01,Bangkok,6.47,6.13,34,89,0
2020-01-01,Bangkok,5.24,4.48,34,71,0
2020-01-01,Nakhon Ratchasima,15.06,7.01,35,69,0
2020-01-01,Ubon Ratchathani,8.9,3.36,37,86,0
2020-01-01,Bangkok,12.17,6.27,25,71,0
2020-01-01,Sukhothai,7.93,4.46,27,94,0
2020-01-01,Nakhon Sawan,19.69,7.12,32,90,0
2020-01-01,Khon Kaen,12.13,3.75,28,78,0
2020-01-01,Sukhothai,1.0,5.1,27,60,0
2020-01-01,Songkhla,15.19,5.49,32,69,0
